Time (s),Stress Level (%)
0.429171,47.84822463989258
0.609348,45.270395278930664
0.78165,43.74704360961914
0.800448,47.159433364868164
0.957612,54.94476556777954
1.132029,47.196078300476074
1.30735,59.325504302978516
1.326156,63.000935316085815
1.489226,53.528958559036255
1.665999,52.18549370765686
1.686548,60.017526149749756
1.889389,50.743913650512695
2.055232,61.911869049072266
2.075678,42.99519956111908
2.277291,52.65735387802124
2.298033,37.97772228717804
2.493047,43.89094114303589
2.513624,39.985278248786926
2.709042,37.585240602493286
2.729413,41.07293486595154
2.926662,36.457279324531555
2.947017,39.127275347709656
2.96508,41.14728569984436
3.136432,34.66455042362213
3.156058,39.214521646499634
3.174396,41.03008806705475
3.354852,26.358366012573242
3.374939,46.10227346420288
3.394644,54.34126257896423
3.568036,41.45931899547577
3.587996,37.666380405426025
3.740277,32.84839391708374
3.759725,35.23738086223602
3.914533,34.296125173568726
3.934261,55.115628242492676
4.143216,37.74484097957611
4.164186,50.924086570739746
4.357412,33.576902747154236
4.524879,39.418503642082214
4.694074,37.181201577186584
4.717131,68.13117861747742
4.915076,36.79087162017822
4.935993,49.11600649356842
4.954395,45.6318736076355
5.124653,14.898519217967987
5.304021,34.630805253982544
5.32504,19.534440338611603
5.522317,57.277995347976685
5.542806,34.59831476211548
5.56145,24.64139461517334
5.731519,61.06545329093933
5.751354,6.181180104613304
5.931314,58.43172073364258
5.949934,33.03944170475006
5.968467,42.84255504608154
5.986817,13.937994837760925
6.147977,37.197983264923096
6.167082,8.800021559000015
6.320626,39.9139404296875
6.339364,62.7865195274353
6.35789,5.245994031429291
6.544503,41.609787940979004
6.563615,4.16608564555645
6.709448,41.347670555114746
6.730853,62.025946378707886
6.750918,28.482112288475037
6.927603,35.60287952423096
6.949751,63.07045221328735
6.969246,39.10228908061981
7.1645,35.1773738861084
7.185455,41.98879897594452
7.383415,33.55568051338196
7.552021,33.91069173812866
7.729226,40.755054354667664
7.901888,29.27701473236084
7.923053,26.40531361103058
8.119708,37.61567175388336
8.140136,55.629295110702515
8.158691,34.90009307861328
8.317741,40.964436531066895
8.337898,42.87986755371094
8.499123,38.70626091957092
8.518723,46.66963219642639
8.670821,38.11807632446289
8.690826,42.66408681869507
8.89666,38.01334202289581
8.917744,44.51407492160797
9.114515,36.22068166732788
9.136828,30.19671142101288
9.155433,49.4471549987793
9.321565,49.18227791786194
9.496839,49.13000166416168
9.677785,56.50942325592041
9.698564,53.952544927597046
9.890594,59.27704572677612
9.911473,49.18834865093231
