Time (s),Stress Level (%)
0.218955,47.82802164554596
0.240538,50.44476389884949
0.261739,56.77780508995056
0.449016,47.92346656322479
0.468762,39.3620103597641
0.488427,56.470268964767456
0.662065,43.38516891002655
0.683836,34.77481305599213
0.705376,57.53331780433655
0.887053,54.38694357872009
0.912081,51.956939697265625
0.933194,57.04554319381714
1.106044,47.886618971824646
1.125088,50.90009570121765
1.14569,52.37318277359009
1.331227,45.471182465553284
1.351543,59.30631160736084
1.370768,51.9666850566864
1.547946,56.877607107162476
1.568898,57.25519061088562
1.587063,56.95463418960571
1.762104,44.817644357681274
1.782262,60.41021943092346
1.800507,55.686014890670776
1.980173,52.10614204406738
2.000639,57.19603896141052
2.021132,57.092684507369995
2.194094,51.19420289993286
2.21473,58.58478546142578
2.233658,51.52401328086853
2.413856,53.76485586166382
2.434597,49.738678336143494
2.453016,54.297107458114624
2.471137,46.65575623512268
2.623305,59.37430262565613
2.642935,61.557769775390625
2.661564,40.15471041202545
2.846512,53.29570174217224
2.868263,66.33442640304565
2.886698,48.06468486785889
3.056822,56.118279695510864
3.077448,52.29269862174988
3.096729,55.47590255737305
3.280883,54.55852746963501
3.3012,53.32390069961548
3.319443,48.38946759700775
3.487677,50.20623207092285
3.506992,56.09304904937744
3.525947,56.54699206352234
3.710794,52.840250730514526
3.732979,55.56468367576599
3.751091,60.289204120635986
3.930105,48.27611446380615
3.950855,59.25526022911072
3.969272,55.83460330963135
4.142156,51.093024015426636
4.162724,52.90023684501648
4.365622,56.94648623466492
4.386478,63.43141794204712
4.57954,58.958500623703
4.600374,58.21714401245117
4.801805,62.066930532455444
4.969452,58.36235284805298
4.98977,53.59582304954529
5.191416,58.51929187774658
5.212389,52.86763906478882
5.404751,27.372950315475464
5.425746,62.50821352005005
5.444498,50.89691877365112
5.612543,15.322431921958923
5.632423,61.46818995475769
5.839554,27.012035250663757
5.860187,58.172911405563354
6.047736,36.46986186504364
6.06978,57.59814381599426
6.246026,41.51434004306793
6.266843,59.067243337631226
6.424825,29.13537621498108
6.44723,60.83028316497803
6.635261,29.471102356910706
6.654184,54.76673245429993
6.809197,34.41343605518341
6.832007,57.85699486732483
6.979101,59.10247564315796
6.9992,62.579530477523804
7.152147,52.437543869018555
7.174585,55.886393785476685
7.351305,34.81138050556183
7.371857,55.0886869430542
7.390211,56.98135495185852
7.563527,56.336939334869385
7.583672,52.808886766433716
7.781219,57.388776540756226
7.801635,51.295942068099976
8.001261,56.24982714653015
8.022306,56.761592626571655
8.214967,52.52727270126343
8.235745,61.161571741104126
8.433188,52.49740481376648
8.454692,49.30013716220856
8.645279,46.071016788482666
8.66661,54.382532835006714
8.867275,50.172215700149536
8.88879,52.892935276031494
9.082059,47.41901457309723
9.102947,47.935494780540466
9.29682,43.964359164237976
9.317524,49.98930096626282
9.513491,46.19096219539642
9.534545,52.62056589126587
9.734293,51.324158906936646
9.755277,54.58167791366577
9.943677,54.86841797828674
9.964586,53.332966566085815
