Time (s),Stress Level (%)
0.30599,62.76659965515137
0.488831,55.274730920791626
0.658956,51.900750398635864
0.832895,56.88127875328064
1.008883,57.899582386016846
1.204009,59.90689396858215
1.379551,58.17949175834656
1.52783,57.222068309783936
1.718035,51.94399952888489
1.905979,63.47242593765259
2.064535,61.94824576377869
2.24992,64.93093967437744
2.406273,60.755348205566406
2.588965,56.40997290611267
2.762455,57.07627534866333
2.933948,56.34031891822815
3.106428,57.51242637634277
3.283918,59.59908962249756
3.452873,60.326093435287476
3.620604,57.03257918357849
3.803764,60.41666269302368
3.96984,55.114591121673584
4.147521,55.741071701049805
4.318259,61.16286516189575
4.497718,56.891441345214844
4.654997,56.96825385093689
4.836985,55.76876997947693
5.006326,58.202314376831055
5.186876,63.41763138771057
5.361565,56.00748658180237
5.525726,51.903241872787476
5.701519,53.01388502120972
5.879183,52.520447969436646
6.054456,55.45268654823303
6.222683,56.49005174636841
6.39561,64.34206962585449
6.573375,60.28515100479126
6.744857,46.344271302223206
6.913998,50.671952962875366
7.089769,46.98779284954071
7.260052,46.136051416397095
7.434048,53.929632902145386
7.603791,48.04416298866272
7.783709,50.69497227668762
7.931359,49.691855907440186
8.10822,49.438849091529846
8.282305,52.45516896247864
8.461496,50.10179281234741
8.631415,49.72558915615082
8.809612,47.859591245651245
8.985545,51.098471879959106
9.167368,49.46545958518982
9.33464,51.070636510849
9.504241,47.23183810710907
9.689756,50.498056411743164
9.8552,49.05746579170227
10.025559,43.50663423538208
